Ticker,Date,Score,Close,SMA20,SMA50,SMA200,RSI,ADX,ATR_Pct,RelVolume,BBWidth,VolatilityRatio,Return5D,Return20D,Return60D,DistHigh20,DistHigh50,AvgDollarVolume,Reasons,Warnings
SYF,2025-09-02,90,74.38,71.27,69.19,61.29,66.0,,,1.08,13.37,0.95,,,,2.02,2.02,214.92,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | MACD bullish | Positive MACD histogram | Volume contracting | Bollinger Bands compressed | Rising support line with 8 touches | Close is 3.2% above support,
VMC,2025-09-02,90,290.32,287.09,273.74,261.36,62.9,,,1.41,5.5,0.83,,,,1.07,1.07,232.64,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | Volume contracting | Volatility contracting | Bollinger Bands compressed | Rising support line with 14 touches | Close is 0.1% above support,
PHM,2025-09-02,90,131.05,126.35,116.93,109.74,66.2,,,0.74,14.01,0.8,,,,1.2,1.2,246.09,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | Volume contracting | Volatility contracting | Bollinger Bands compressed | Rising support line with 10 touches | Close is 0.7% above support,
HIG,2025-09-02,90,129.59,128.2,123.81,117.31,60.5,,,1.0,6.51,0.7,,,,1.89,1.89,164.7,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | Volume contracting | Volatility contracting | Bollinger Bands compressed | Rising support line with 14 touches | Close is 1.9% above support,
ORLY,2025-09-02,90,103.19,102.94,97.23,89.94,60.0,,,0.87,3.48,0.8,,,,1.62,1.62,439.81,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | Volume contracting | Volatility contracting | Bollinger Bands compressed | Rising support line with 12 touches | Close is 0.0% above support,
NVR,2025-09-02,90,8169.85,8057.02,7770.94,7719.56,57.9,,,1.13,7.35,0.85,,,,2.1,2.1,131.76,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | Volume contracting | Volatility contracting | Bollinger Bands compressed | Rising support line with 13 touches | Close is 2.0% above support,
EW,2025-09-02,90,81.77,79.62,78.41,74.12,62.6,,,0.91,8.05,0.76,,,,0.6,1.5,304.54,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | MACD bullish | Positive MACD histogram | Volume contracting | Volatility contracting | Rising support line with 13 touches | Close is 4.4% above support,
NOC,2025-09-02,90,579.87,575.7,541.32,488.78,64.4,,,0.93,3.09,0.4,,,,1.58,1.58,392.98,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | Volume contracting | Volatility contracting | Bollinger Bands compressed | Rising support line with 10 touches | Close is 0.0% above support,
JNJ,2025-09-02,90,174.14,170.8,161.71,151.28,69.5,,,1.11,6.54,0.49,,,,1.0,1.0,1386.8,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | Volume contracting | Volatility contracting | Bollinger Bands compressed | Rising support line with 12 touches | Close is 0.7% above support,
GL,2025-09-02,90,138.82,138.19,130.09,120.53,59.5,,,0.87,4.43,0.5,,,,1.61,2.89,81.42,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | Volume contracting | Volatility contracting | Bollinger Bands compressed | Rising support line with 9 touches | Close is 0.0% above support,
ALLE,2025-09-02,90,166.67,166.71,157.44,138.3,55.3,,,1.01,6.32,0.73,,,,2.95,2.95,133.27,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | Volume contracting | Volatility contracting | Bollinger Bands compressed | Rising support line with 10 touches | Close is 0.0% above support,
WELL,2025-09-02,90,165.31,163.52,158.19,143.79,60.3,,,1.14,5.36,0.73,,,,1.55,1.55,383.76,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | Volume contracting | Volatility contracting | Bollinger Bands compressed | Rising support line with 12 touches | Close is 0.9% above support,
EXPE,2025-09-02,89,210.56,202.74,187.55,176.53,65.3,,,0.53,19.95,1.09,,,,1.93,1.93,422.68,Price above SMA200 | Price above SMA50 | SMA20 > SMA50 > SMA200 | SMA20 rising | SMA50 rising | Within 3% of 20-day high | Within 3% of 50-day high | Healthy bullish RSI | MACD bullish | Positive MACD histogram | Volume contracting | Rising support line with 7 touches | Close is 1.8% above support,
